time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.00590523231377,-3.89067875948e-12,10.0021673113,6.28318529972,0.447710211748,0.0,-0.321195448324,-3.89071119166e-10,0.0142343976339,-3.72966562349e-07,-10.8174164409,0.0,899.97265762,0.241436899436,-0.194208652152,-0.102714063871
0.12000000000000001,-0.0253110629514,-1.22006512502e-10,9.99816371846,6.28318527966,5.40401789213,0.0,-0.316539329752,7.42052918639e-10,-0.444404176067,-2.61795436717e-07,-19.279642401,0.0,900.054910305,-0.192118007876,0.341249786788,-0.35404000996
0.18,-0.0427221929018,-4.3155257756e-10,9.96588391786,6.28318528139,2.26853086419,0.0,-0.545938183308,-6.91042688648e-09,-0.77526961972,6.75601296405e-07,-24.3568534625,0.0,900.099890131,-0.259880878779,0.0742243182691,-0.278701140106
0.23999999999999996,-0.0919416374532,-5.54744543082e-10,9.88747376893,6.28318525836,1.85357644494,0.0,-1.10274291172,2.00593227921e-09,-1.82606253765,-2.3418952552e-06,-26.8787137972,0.0,899.866574476,-0.394773706906,0.531158806144,-0.093307032833
0.3,-0.178864426973,-7.12866230555e-10,9.75916587271,6.28318477099,0.43533037885,0.0,-1.77407010668,-3.31753509059e-08,-2.31322303763,-2.01725629448e-05,-28.0021944286,0.0,899.52876101,-1.30106174125,1.17327112449,0.147915219114
0.36000000000000004,-0.288408956006,-1.77898446164e-08,9.62254954241,6.28318341753,5.06750129581,0.0,-1.71224961614,-6.3099963491e-07,-2.26157942064,-2.73281615834e-05,-28.4825000149,0.0,899.610630649,-1.40434980133,0.721950898537,-0.00962356475382
0.4200000000000001,-0.371123244738,-5.50630696455e-08,9.47027118305,6.2831817803,3.36116257009,0.0,-1.07675060527,-1.71754988379e-07,-2.98227454948,-2.7432635294e-05,-28.6896426873,0.0,899.977308081,-1.34961224343,-0.188263421806,0.1211898002
0.48000000000000015,-0.437343405402,8.37989098779e-09,9.25422813513,6.2831800765,1.63901527595,0.0,-1.28934211423,2.18462887105e-06,-4.16027181182,-3.03249918731e-05,-28.7726891162,0.0,899.846090057,-0.850961386842,-0.458998423261,0.0733206804934
0.5400000000000001,-0.534362148993,1.13184678372e-07,8.9910918307,6.28317803227,6.19519515476,0.0,-1.8612277253,3.39379183297e-07,-4.4591350026,-4.01516495038e-05,-28.8097924702,0.0,900.002475995,-1.01367281287,-0.958336613148,0.343640329702
0.6000000000000002,-0.638804707529,2.89166605244e-09,8.72308493565,6.28317568244,4.46620295038,0.0,-1.48603192122,-3.42148250991e-06,-4.56800934387,-3.74266944366e-05,-28.8296211254,0.0,900.245613719,-1.01452795131,-0.460768630327,0.46462484669
0.6600000000000003,-0.710617461983,-1.02359148504e-07,8.42166131401,6.2831736929,2.73605762156,0.0,-1.04088964616,1.18995047946e-06,-5.59102558392,-2.71061298901e-05,-28.8473300826,0.0,900.751445467,-0.390320094356,-0.558231906914,1.14723743345
0.7200000000000003,-0.785152906568,1.33945811681e-07,8.05454695552,6.28317220499,1.00544017234,0.0,-1.54885515062,5.3406828263e-06,-6.52897495588,-1.78080954019e-05,-28.8385920422,0.0,899.905313076,-0.0222234334472,-0.495231607775,1.14577468771
0.7800000000000004,-0.891287881915,2.76029212607e-07,7.65853032185,6.28317178751,5.55842979494,0.0,-1.8288639337,-1.39798654486e-06,-6.61605756831,1.64921934775e-05,-28.8337517966,0.0,899.838794109,-0.303189311803,-0.718544771253,1.62708023789
0.8400000000000004,-0.985389520554,6.22212931864e-08,7.25354091596,6.28317342748,3.82868856004,0.0,-1.23826846348,-3.86845119894e-06,-7.02351924264,4.59832734577e-05,-28.8227663011,0.0,899.362460512,-0.34078012607,-0.782402386631,1.58041619757
0.9000000000000005,-1.05226851168,6.99684632242e-09,6.79886582093,6.28317632778,2.09933755135,0.0,-1.14678593462,1.86831791003e-06,-8.13709580037,5.07933519953e-05,-28.8221429195,0.0,899.5678804,0.269672682174,-0.732482753883,1.3186798115
0.9600000000000005,-1.13935190301,1.73144804783e-07,6.28715718797,6.2831797883,0.3700006098,0.0,-1.7719058901,2.41073512741e-06,-8.76191900929,7.56684620742e-05,-28.8224938375,0.0,899.5999832,0.584247669039,-0.603795751715,1.53141762168
1.0200000000000005,-1.24729222665,2.47840656051e-07,5.75857551141,6.28318459388,4.92400986836,0.0,-1.69132895172,4.83545403192e-07,-8.87779232,8.89404451324e-05,-28.8155839569,0.0,899.226634034,0.315360292814,-0.544640577189,0.983226969692
1.0800000000000005,-1.32936802052,2.67942207282e-07,5.20914519138,4.94486251501e-06,3.19500640598,0.0,-1.10269351076,-7.10638229823e-08,-9.58904232991,0.000100964359526,-28.818509761,0.0,899.531627845,-0.388034930187,-0.264508968482,1.1153838037
1.1400000000000006,-1.39901896106,1.84189989455e-07,4.60285476537,1.0994155204e-05,1.46579268438,0.0,-1.34076023799,-2.96510651558e-06,-10.6015556984,0.000101250028085,-28.8229713203,0.0,899.704295668,-0.570579461497,-0.176631092762,0.841301430184
1.2000000000000006,-1.49811318696,5.33940320629e-08,3.95229680795,1.7408597472e-05,6.01954172624,0.0,-1.83528130572,1.86784766588e-07,-10.9746380734,0.000119155290708,-28.8254421786,0.0,899.738095236,-0.381620168505,-0.43465478837,1.17149499304
